member_casual,rideable_type,day_of_week,day_name,ride_month,start_hour,total_rides,total_ride_minutes
casual,classic_bike,1,Sunday,2025-09,0,310,6825.262216666667
casual,classic_bike,1,Sunday,2025-09,1,221,4628.77645
casual,classic_bike,1,Sunday,2025-09,2,168,4161.88725
casual,classic_bike,1,Sunday,2025-09,3,61,1121.17475
casual,classic_bike,1,Sunday,2025-09,4,44,756.2188
casual,classic_bike,1,Sunday,2025-09,5,44,1383.01445
casual,classic_bike,1,Sunday,2025-09,6,105,6522.792366666667
casual,classic_bike,1,Sunday,2025-09,7,202,11401.390116666667
casual,classic_bike,1,Sunday,2025-09,8,347,14501.588216666667
casual,classic_bike,1,Sunday,2025-09,9,606,21138.738866666667
casual,classic_bike,1,Sunday,2025-09,10,959,32684.791483333334
casual,classic_bike,1,Sunday,2025-09,11,1218,48430.81331666667
casual,classic_bike,1,Sunday,2025-09,12,1357,50281.76906666667
casual,classic_bike,1,Sunday,2025-09,13,1331,45566.60838333333
casual,classic_bike,1,Sunday,2025-09,14,1284,44762.37123333333
casual,classic_bike,1,Sunday,2025-09,15,1265,38967.80396666667
casual,classic_bike,1,Sunday,2025-09,16,1270,39855.20683333333
casual,classic_bike,1,Sunday,2025-09,17,1053,35504.49335
casual,classic_bike,1,Sunday,2025-09,18,965,27089.1668
casual,classic_bike,1,Sunday,2025-09,19,571,18563.46405
casual,classic_bike,1,Sunday,2025-09,20,347,9613.2048
casual,classic_bike,1,Sunday,2025-09,21,245,5863.694933333333
casual,classic_bike,1,Sunday,2025-09,22,242,4793.562533333334
casual,classic_bike,1,Sunday,2025-09,23,105,1703.4817166666667
casual,classic_bike,1,Sunday,2025-10,0,241,3352.4290333333333
casual,classic_bike,1,Sunday,2025-10,1,136,2156.9497666666666
casual,classic_bike,1,Sunday,2025-10,2,146,3092.3987500000003
casual,classic_bike,1,Sunday,2025-10,3,67,2587.056866666667
casual,classic_bike,1,Sunday,2025-10,4,52,863.2090333333333
casual,classic_bike,1,Sunday,2025-10,5,99,5026.2689
casual,classic_bike,1,Sunday,2025-10,6,213,6698.846233333334
casual,classic_bike,1,Sunday,2025-10,7,346,23417.566833333334
casual,classic_bike,1,Sunday,2025-10,8,467,18934.450233333333
casual,classic_bike,1,Sunday,2025-10,9,851,34164.84246666667
casual,classic_bike,1,Sunday,2025-10,10,1056,42647.67751666667
casual,classic_bike,1,Sunday,2025-10,11,1155,48449.73555
casual,classic_bike,1,Sunday,2025-10,12,1214,38723.00528333333
casual,classic_bike,1,Sunday,2025-10,13,1164,36544.323216666664
casual,classic_bike,1,Sunday,2025-10,14,1164,40722.80871666667
casual,classic_bike,1,Sunday,2025-10,15,1228,39838.579633333335
casual,classic_bike,1,Sunday,2025-10,16,1058,33777.484
casual,classic_bike,1,Sunday,2025-10,17,868,23207.840283333335
casual,classic_bike,1,Sunday,2025-10,18,614,17727.865733333332
casual,classic_bike,1,Sunday,2025-10,19,321,5823.03095
casual,classic_bike,1,Sunday,2025-10,20,215,5883.357383333333
casual,classic_bike,1,Sunday,2025-10,21,217,8335.931016666667
casual,classic_bike,1,Sunday,2025-10,22,157,2468.6571
casual,classic_bike,1,Sunday,2025-10,23,58,1517.0571333333332
casual,classic_bike,1,Sunday,2025-11,0,155,6025.118283333333
casual,classic_bike,1,Sunday,2025-11,1,127,4169.5163
casual,classic_bike,1,Sunday,2025-11,2,63,647.0356333333333
casual,classic_bike,1,Sunday,2025-11,3,30,429.28836666666666
casual,classic_bike,1,Sunday,2025-11,4,26,495.6082666666667
casual,classic_bike,1,Sunday,2025-11,5,14,588.3907833333334
casual,classic_bike,1,Sunday,2025-11,6,22,604.5985000000001
casual,classic_bike,1,Sunday,2025-11,7,58,2082.6001499999998
casual,classic_bike,1,Sunday,2025-11,8,97,1903.3164333333334
casual,classic_bike,1,Sunday,2025-11,9,246,6312.0695166666665
casual,classic_bike,1,Sunday,2025-11,10,349,12328.218333333334
casual,classic_bike,1,Sunday,2025-11,11,468,13129.45755
casual,classic_bike,1,Sunday,2025-11,12,482,15686.8682
casual,classic_bike,1,Sunday,2025-11,13,451,14433.277233333334
casual,classic_bike,1,Sunday,2025-11,14,445,13998.892166666667
casual,classic_bike,1,Sunday,2025-11,15,539,12350.630483333334
casual,classic_bike,1,Sunday,2025-11,16,394,10941.7858
casual,classic_bike,1,Sunday,2025-11,17,218,3306.2326
casual,classic_bike,1,Sunday,2025-11,18,136,1816.5584
casual,classic_bike,1,Sunday,2025-11,19,102,1549.0273
casual,classic_bike,1,Sunday,2025-11,20,70,1517.7882833333333
casual,classic_bike,1,Sunday,2025-11,21,65,1768.5188833333334
casual,classic_bike,1,Sunday,2025-11,22,54,1545.82545
casual,classic_bike,1,Sunday,2025-11,23,27,332.80201666666665
casual,classic_bike,1,Sunday,2025-12,0,29,503.24673333333334
casual,classic_bike,1,Sunday,2025-12,1,18,215.39236666666667
casual,classic_bike,1,Sunday,2025-12,2,17,311.5247
casual,classic_bike,1,Sunday,2025-12,3,13,532.8931
casual,classic_bike,1,Sunday,2025-12,4,5,45.968
casual,classic_bike,1,Sunday,2025-12,5,2,12.929533333333334
casual,classic_bike,1,Sunday,2025-12,6,5,546.6915
casual,classic_bike,1,Sunday,2025-12,7,8,305.1961333333333
casual,classic_bike,1,Sunday,2025-12,8,13,146.0088
casual,classic_bike,1,Sunday,2025-12,9,16,317.51615000000004
casual,classic_bike,1,Sunday,2025-12,10,28,364.1662
casual,classic_bike,1,Sunday,2025-12,11,60,1434.8809
casual,classic_bike,1,Sunday,2025-12,12,43,606.4844833333333
casual,classic_bike,1,Sunday,2025-12,13,37,490.6938166666667
casual,classic_bike,1,Sunday,2025-12,14,53,878.8584666666667
casual,classic_bike,1,Sunday,2025-12,15,78,1395.2803000000001
casual,classic_bike,1,Sunday,2025-12,16,49,1062.9799
casual,classic_bike,1,Sunday,2025-12,17,34,1586.2100333333333
casual,classic_bike,1,Sunday,2025-12,18,36,767.4703333333333
casual,classic_bike,1,Sunday,2025-12,19,26,1263.0014333333334
casual,classic_bike,1,Sunday,2025-12,20,16,190.80161666666666
casual,classic_bike,1,Sunday,2025-12,21,18,783.1907666666666
casual,classic_bike,1,Sunday,2025-12,22,16,231.71981666666665
casual,classic_bike,1,Sunday,2025-12,23,13,105.99186666666667
casual,classic_bike,1,Sunday,2026-01,0,31,1004.8115000000001
casual,classic_bike,1,Sunday,2026-01,1,16,240.2793
casual,classic_bike,1,Sunday,2026-01,2,11,92.5488
casual,classic_bike,1,Sunday,2026-01,3,7,101.87008333333333
casual,classic_bike,1,Sunday,2026-01,4,2,13.965666666666667
casual,classic_bike,1,Sunday,2026-01,5,7,48.0497
casual,classic_bike,1,Sunday,2026-01,6,6,161.92541666666668
casual,classic_bike,1,Sunday,2026-01,7,11,63.98356666666667
casual,classic_bike,1,Sunday,2026-01,8,12,1489.9281
casual,classic_bike,1,Sunday,2026-01,9,28,516.6559333333333
casual,classic_bike,1,Sunday,2026-01,10,41,969.2983666666667
casual,classic_bike,1,Sunday,2026-01,11,47,1927.3756333333333
casual,classic_bike,1,Sunday,2026-01,12,57,926.6578833333333
casual,classic_bike,1,Sunday,2026-01,13,82,1507.9901
casual,classic_bike,1,Sunday,2026-01,14,83,1176.7420166666666
casual,classic_bike,1,Sunday,2026-01,15,62,1237.7554333333333
casual,classic_bike,1,Sunday,2026-01,16,66,2440.6468000000004
casual,classic_bike,1,Sunday,2026-01,17,45,721.0435
casual,classic_bike,1,Sunday,2026-01,18,37,821.8538666666667
